%	code	xx	param	BG	SL	CS	PL	UK	RU	LV	ET	FI	SV	DA	DE	NL	EN	HU	RO	FR	ES	PT	TR	AZ	KO	JA	ZH	ZT	VI	TH	
	\langname	Reference		Български	Slovenščina	Čeština	Polski	Українська	Русский	Latviešu	Eesti	Suomi	Svenska	Dansk	Deutsch	Nederlands	English	Magyar	Română	Français	Español (castellano)	Português	Türkçe	Azərbaycanca	한국어	日本語	中文（大陆简体）	中文（臺灣正體）	Tiếng Việt	ภาษาไทย	
	\spac			 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	\relax	\relax	\relax	 	\quad	
%																															
	\regtitl	IOL rules and guidelines for contestants		Правила и указания за участниците в МОЛ	IOL pravila in navodila za tekmovalce	Pravidla IOL a instrukce pro soutěžící	Zasady i wytyczne dla zawodników v IOL	МОЛ: правила та поради учасникам	Правила и руководящие принципы для участников МОЛ	IOL noteikumi un vadlīnijas dalībniekiem	IOL-i reeglid ja juhised osalejatele	IOL:in säännöt ja ohjeet kilpailijoille	IOLs regler och riktlinjer för deltagare	IOL-regler og retningslinjer for deltagere	IOL-Regeln und Richtlinien für Teilnehmerinnen und Teilnehmer	IOL regels en richtlijnen voor deelnemers	IOL rules and guidelines for contestants	IOL szabályok és útmutatók a versenyzők számára	Reguli și instrucțiuni pentru participanții la IOL	Règles et directives de l'IOL pour les participants	Reglas y directrices de la IOL para los concursantes	Regras e diretrizes da IOL para participantes	IOL-Yarışma Kuralları	IOL-Müsabiqə Qaydaları	IOL 참가자 규정 및 지침	IOL選手向けルール及びガイドライン	国际语奥参赛规则与指南	國際語奧參賽者規則與指南			
	\regindi	Rules for the individual competition		Правила за индивидуалното състезание	Pravila za individualno tekmovanje	Pravidla individuální soutěže	Zasady konkursu indywidualnego	Правила індивідуального змагання	Правила индивидуального соревнования	Individuālo sacensību noteikumi	Individuaalvõistluse reeglid	Henkilökohtaisen kilpailun säännöt	Regler för den individuella tävlingen	Regler for den individuelle konkurrence	Regeln für den Einzelwettbewerb	Regels voor de individuele competitie	Rules for the individual competition	Az egyéni versenyre vonatkozó szabályok	Reguli pentru competiția individuală	Règles pour le concours individuel	Reglas para la competencia individual	Regras para a competição individual	Bireysel Yarışması için Kurallar	Fərdi müsabiqəsinin qaydaları	개인전 규정	個人戦のルール	个人赛规则	個人賽規則			
	\regindia	The following are rules and guidelines for contestants in the individual round.		По-долу следват правилата и указанията за участниците в индивидуалното състезание.	V nadaljevanju so pravila in navodila za tekmovalce v individualnem delu tekmovanja.	Toto jsou pravidla a instrukce pro soutěžící v individuální soutěži.	Poniżej znajdują się zasady i wytyczne dla zawodników dotyczące konkursu indywidualnego.	Нижче подано правила та поради для учасників індивідуального змагання.	Ниже приведены правила и руководящие принципы для участников, касающиеся индивидуального соревнования.	Turpmāk minēti noteikumi un vadlīnijas sacensību dalībniekiem individuālajā kārtā.	Järgnevad reeglid ja juhised on osalejatele individuaalvõistluse kohta.	Ohessa ovat henkilökohtaisen kilpailun säännöt ja ohjeet.	Nedan följer regler och riktlinjer för deltagare i den individuella tävlingen.	Følgende regler og retningslinjer gælder for deltagere i den individuelle konkurrence.	Nachfolgend findest du die Regeln und Richtlinien für die Teilnehmerinnen und Teilnehmer der Einzelrunde.	De volgende regels en richtlijnen zijn voor deelnemers in de individuele ronde.	The following are rules and guidelines for contestants in the individual round.	Az alábbiakban olvashatók az egyéni versenyre vonatkozó szabályok és útmutatók.	Mai jos sunt câteva reguli și instrucțiuni pentru competiția individuală.	Ce qui suit sont des règles et des directives pour les participants à l'étape individuelle.	Las siguientes son reglas y pautas para los concursantes en la ronda individual.	A seguir, são apresentadas as regras e as diretrizes para os participantes da rodada individual.	Aşağıda bireysel yarışmada uyulması gereken kurallar sıralanmıştır.	Fərdi müsabiqədə riayət olunmalı qaydalar aşağıda verilmişdir.	다음은 개인전 참가자들에게 해당되는 규정 및 지침입니다.	以下は選手に向けた個人戦のルールと案内です。	以下是提供给参赛者的个人赛规则与指南。	以下為提供給個人賽參賽者的規則與指南，			
	\regindib	They will be presented (in English) at the opening ceremony.		Те ще бъдат представени (на английски) по време на церемонията по откриването.	Z njimi se boste seznanili (v angleščini) na otvoritveni svečanosti.	V anglickém znění budou pravidla prezentována během zahajovacího ceremoniálu.	Zostaną one przedstawione (po angielsku) podczas ceremonii otwarcia Olimpiady.	Вони будуть представлені (англійською) під час церемонії відкриття.	Они будут представлены (на английском языке) на церемонии открытия.	Ar tiem iepazīstinās (angļu valodā) atklāšanas ceremonijā.	Need esitatakse (inglise keeles) avatseremoonial.	Ne esitellään (englanniksi) myös olympialaisten avajaisissa.	Dessa regler presenteras även (på engelska) under öppningsceremonin.	De vil blive præsenteret (på engelsk) til åbningsceremonien.	Diese werden bei der Eröffnungsfeier (in englischer Sprache) vorgestellt.	Deze zullen ook worden genoemd tijdens de openingsceremonie (in het Engels).	They will be presented (in English) at the opening ceremony.	Ezek a Diákolimpia nyitóünnepségén is el fognak hangzani (angolul).	Acestea vor fi prezentate (în engleză) la festivitatea de deschidere.	Elles seront présentées (en anglais) lors de la cérémonie d'ouverture.	Se presentarán (en inglés) en la ceremonia de apertura.	Elas serão apresentadas (em inglês) na cerimônia de abertura.	Bu kurallar IOL açılış töreninde İngilizce olarak açıklanacaktır.	Bu qaydalar IOL-un açılış mərasimində ingilis dilində izah ediləcək.	개회식 때 (영어로) 발표될 것입니다.	開会式で（英語で）説明があります。	这份规则会在开幕式中（用英语）进行公示。	並將在開幕式時（以英文）呈現。			
	\regindic	All language versions of these rules have equal validity.		Версиите на този текст на всички езици следва да се считат като равнопоставени.	Različice teh pravil v vseh jezikih so enakovredne.	Všechny jazykové verze pravidel mají stejnou váhu.	Wszystkie wersje językowe niniejszego dokumentu są równoważne.	Версії цих правил усіма мовами мають однакову силу.	Версии этого документа на всех языках имеют равную силу.	Visām šo noteikumu valodu versijām ir vienāds spēks.	Kõik nende reeglite tõlked on võrdse kehtivusega.	Kaikki olympialaisten virallisilla kielillä julkaistut säännöt ovat samansisältöisiä ja samanarvoisia.	Alla språkversioner av dessa regler är lika giltiga.	Disse regler er lige gyldige på alle sprog.	Alle Sprachversionen dieser Regeln haben die gleiche Gültigkeit.	De versies van deze regels in alle talen zijn even geldig.	All language versions of these rules have equal validity.	A szabályok minden nyelvű változata egyaránt érvényes.	Toate traducerile în celelalte limbi au validitate egală.	Toutes les versions de ces règles dans les différentes langues de travail à l'IOL ont une validité égale.	Las versiones de estas reglas en todos los idiomas de la IOL tienen la misma validez.	As versões destas regras em cada uma das línguas da IOL têm igual validade.	Kuralların tüm dillerdeki çevirileri aynı geçerliliğe sahiptir.	Qaydaların bütün dillərə tərcümələri eyni qüvvəyə malikdir.	이 규정의 각 언어별 판본은 모두 동일한 효력을 가집니다.	このルールは各言語でのバージョンが言語によらず同等の効力を持ちます。	各语言版本的规则拥有同等的效力。	這份規則的所有語言版本皆具同等效力。			
	\regwork	Working language		Работен език	Jezik tekmovanja	Soutěžní jazyk	Język rozwiązywania zadań	Робоча мова	Рабочий язык	Darba valoda	Töökeel	Työkieli	Arbetsspråk	Arbejdssprog	Arbeitssprache	Voertaal	Working language	Munkanyelv	Limba de lucru	Langue de travail	Idioma de trabajo	Língua de trabalho	Çalışma Dili	Müsabiqə dili	풀이 언어	使用言語	参赛语言	競賽語言			
	\regworka	Each contestant chooses their working language from among those offered when registering for the Olympiad.		Всеки състезател избира работен език от предлаганите по време на регистрацията за Олимпиадата.	Vsak tekmovalec si med jeziki, ki so na voljo ob prijavi na olimpijado, izbere jezik, v katerem želi tekmovati.	Každý soutěžící si z jazyků nabízených při registraci do olympiády vybírá svůj soutěžní jazyk.	Każdy zawodnik wybiera język rozwiązywania zadań spośród oferowanych podczas rejestracji na Olimpiadę.	Кожен учасник обирає робочу мову з-поміж запропонованих під час реєстрації на олімпіаду.	Каждый участник выбирает для себя рабочий язык из заявленных при регистрации на Олимпиаду.	Katrs dalībnieks izvēlas savu darba valodu no tām, kas piedāvātas, reģistrējoties Olimpiādei.	Iga võistleja valib endale olümpiaadile registreerumisel töökeele pakutavate seast.	Jokainen kilpailija valitsee työkielen olympialaisten virallisista kielistä rekisteröityessään olympialaisiin.	Varje deltagare väljer sitt arbetsspråk bland de som erbjuds vid registrering till olympiaden.	Hver deltager vælger deres arbejdssprog blandt dem, der er blevet tilbudt ved registrering til olympiaden.	Jede Teilnehmerin und jeder Teilnehmer wählt seine Arbeitssprache aus den Angeboten bei der Anmeldung zur Olympiade aus.	Elke deelnemer kiest zijn/haar voertaal uit de beschikbare talen die worden aangeboden tijdens het registeren voor de Olympiade.	Each contestant chooses their working language from among those offered when registering for the Olympiad.	Minden versenyző az Olimpiára való regisztráció során választhat a felajánlott munkanyelvek közül.	Fiecare participant își alege limba de lucru din limbile propuse în momentul înscrierii la olimpiadă.	Chaque participant choisit sa langue de travail parmi celles proposées lors de son inscription à l'Olympiade.	Cada participante elige su idioma de trabajo entre los que se ofrecen al registrarse para la Olimpiada.	Cada participante escolhe sua língua de trabalho dentre as oferecidas no momento em que se increve na Olimpíada.	Her yarışmacı, yarışmada çalışacağı dili verilen diller listesinden seçer.	Hər bir iştirakçı təqdim olunan dillərin siyahısından istifadə edəcəyi dili seçir.	각 참가자는 올림피아드 등록 시에 제공되는 언어 중에서 풀이 언어를 하나 고르게 됩니다.	各選手はオリンピックに登録する際、用意された使用言語の中から自分が使う言語を選びます。	每位参赛者都需要在注册参赛时从大会提供的参赛语言中选择一个作为自己的参赛语言。	每位參賽者皆可在註冊國際語奧競賽時，從大會提供的語言中，選擇在國際語奧個人賽中欲使用的類別。			
	\regworkb	This choice cannot normally be changed less than two weeks before the Olympiad begins.		Изборът на език по правило може да се променя до най-късно две седмици преди началото на Олимпиадата.	Te izbire razen v izjemnih primerih ni mogoče spremeniti pozneje kot dva tedna pred začetkom olimpijade.	Tuto volbu není možné změnit méně než dva týdny před začátkem olympiády.	Wybór nie powinien być zmieniany później niż dwa tygodnie przed rozpoczęciem Olimpiady.	Робочу мову неможливо змінити менш ніж за два тижні до початку олімпіади.	Нельзя изменить выбор языка позже, чем за две недели до начала Олимпиады.	Šo izvēli parasti nevar mainīt vēlāk, kā divas nedēļas pirms Olimpiādes sākuma.	Seda valikut ei saa üldjuhul muuta vähem kui kaks nädalat enne olümpiaadi algust.	Mahdollisuus muuttaa kielivalintaa sulkeutuu yleensä kaksi viikkoa ennen olympialaisten alkua.	Detta val kan i regel inte ändras mindre än två veckor innan olympiaden börjar.	Dette valg kan ikke normalt blive ændret mindre end to uger før olympiaden begynder.	Diese Wahl kann normalerweise nicht später als zwei Wochen vor Beginn der Olympiade geändert werden.	Deze keuze kan normaal gesproken niet meer worden veranderd in de laatste twee weken voor de aanvang van de Olympiade.	This choice cannot normally be changed less than two weeks before the Olympiad begins.	Ez a döntés két héttel az Olimpia előtt már nem módosítható, ez előtt az időpont előtt igen.	De obicei, această alegere nu poate fi modificată cu mai puțin de două săptămâni înainte de începerea olimpiadei.	Ce choix ne peut normalement pas être modifié moins de deux semaines avant le début de l'Olympiade.	Esta elección normalmente no se puede cambiar menos de dos semanas antes de que comience la Olimpiada.	Esta escolha, normalmente, não pode ser alterada com menos de duas semanas antes do início da Olimpíada.	Dil seçimin normalde Olimpiyat başlamadan iki hafta önceye kadar değiştirilebilir.	Dil seçiminiz, adətən, Olimpiada başlamazdan iki həftə əvvələ qədər dəyişdirilə bilər.	선택한 풀이 언어는 통상적으로 올림피아드 시작 2주 전까지만 변경이 가능합니다.	使用言語はオリンピックが始まる2週間前を過ぎると原則変更はできません。	原则上，这一选择在奥赛开始前的两周内不能更改。	通常，在國際語奧競賽正式舉行前兩週內，不得對競賽語言類別作更改。			
